Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
6/22/20,BTCUSD,9286.14,9442.2,9267.58,9412.9,1723.12,16147652.95
6/21/20,BTCUSD,9355.74,9419.35,9273,9286.14,3015.88,28172963.65
6/20/20,BTCUSD,9301.91,9391.71,9161,9355.74,6283.23,58400347.78
6/19/20,BTCUSD,9376.14,9430,9229,9301.91,7672.35,71547516.66
6/18/20,BTCUSD,9457.51,9482.66,9267.18,9376.14,6269.21,58905540.06
6/17/20,BTCUSD,9526.25,9558.48,9227.03,9457.51,8715.05,82062679.05
6/16/20,BTCUSD,9427.86,9592.04,9381,9526.25,10088.17,95804598.97
6/15/20,BTCUSD,9325,9499,8895.01,9427.86,17273.22,159082110.6
6/14/20,BTCUSD,9475,9481,9240,9325,4620.46,43334280.26
6/13/20,BTCUSD,9464.17,9494.45,9346,9475,4531.84,42716808.37
6/12/20,BTCUSD,9268.16,9552.87,9227,9464.17,10875.37,102302070.4
6/11/20,BTCUSD,9894.04,9973.25,9052.1,9268.16,22372.37,212975074.1
6/10/20,BTCUSD,9779.41,10007.77,9705.02,9894.04,10946.73,107511473.4
6/9/20,BTCUSD,9781.51,9886,9570,9779.41,9154.95,89016675.45
6/8/20,BTCUSD,9750.12,9815,9635,9781.51,7993.8,77723809.07
6/7/20,BTCUSD,9671.7,9821.99,9379.18,9750.12,10206.41,98015681.41
6/6/20,BTCUSD,9613.21,9735.13,9526.03,9671.7,6256.06,60222686.83
6/5/20,BTCUSD,9788.03,9855,9585.44,9613.21,11886.99,115505213.7
6/4/20,BTCUSD,9668.07,9888,9501,9788.03,9204,89777707.27
6/3/20,BTCUSD,9522.46,9668.29,9385.22,9668.07,6384.32,60912269.26
6/2/20,BTCUSD,10219.97,10237.59,9285.39,9522.46,14210.84,139721993.5
6/1/20,BTCUSD,9446.57,10350.01,9417.42,10219.97,8439.12,81881425.1
5/31/20,BTCUSD,9700.33,9705.6,9384.54,9446.57,6146.96,58706362.28
5/30/20,BTCUSD,9423.87,9744.06,9346.81,9700.33,3690.72,35294093.01
5/29/20,BTCUSD,9580.19,9609.02,9330.01,9423.87,9945.05,94028684.06
5/28/20,BTCUSD,9208.53,9625,9112,9580.19,13637.01,127942111.1
5/27/20,BTCUSD,8844.42,9230,8811.46,9208.53,10460.35,94984994.96
5/26/20,BTCUSD,8899.31,9016.99,8694.23,8844.42,11166.01,98790010.86
5/25/20,BTCUSD,8715.73,8977,8632.93,8899.31,11868.66,104539581.2
5/24/20,BTCUSD,9181.76,9306.23,8680.7,8715.73,11386.64,102666863.2
5/23/20,BTCUSD,9168.84,9313.83,9090.11,9181.76,6817.01,62772910.86
5/22/20,BTCUSD,9061.96,9267.34,8923.5,9168.84,13553.67,123621229.4
5/21/20,BTCUSD,9509.41,9568,8800,9061.96,25618.77,234344657
5/20/20,BTCUSD,9783.76,9836.99,9305,9509.41,15152.19,145594100.9
5/19/20,BTCUSD,9728.52,9898,9463.22,9783.76,14345.38,138737341.5
5/18/20,BTCUSD,9676.63,9957.25,9442.97,9728.52,15982.76,155624154.1
5/17/20,BTCUSD,9383.16,9896,9325.81,9676.63,12776.67,123594779.3
5/16/20,BTCUSD,9312.1,9594.99,9215.01,9383.16,10642.35,100049605.4
5/15/20,BTCUSD,9795.34,9849,9120,9312.1,22369.96,211953713.2
5/14/20,BTCUSD,9321.26,9943.93,9257.15,9795.34,27425.67,263973908
5/13/20,BTCUSD,8821.42,9420.18,8803.97,9321.26,20859.19,190426518
5/12/20,BTCUSD,8572.4,8982.9,8534.85,8821.42,19825.54,174221566.7
5/11/20,BTCUSD,8729.86,9182.66,8189,8572.4,36356.85,316033053.7
5/10/20,BTCUSD,9537.21,9559.98,8121.07,8729.86,40481.79,351305956.5
5/9/20,BTCUSD,9810,9920.73,9521,9537.21,17301.82,167969041.7
5/8/20,BTCUSD,10004.77,10049,9730,9810,25608.21,254238454.4
5/7/20,BTCUSD,9155.79,10079,9029.56,10004.77,35864.45,346011314.2
5/6/20,BTCUSD,9028.79,9418,8922.13,9155.79,26268.77,242153812.7
5/5/20,BTCUSD,8883.53,9126.27,8769.69,9028.79,15964.71,142722472.9
5/4/20,BTCUSD,8909.95,8970,8533.98,8883.53,17935.43,157326885
5/3/20,BTCUSD,8985.58,9203.52,8731.01,8909.95,15894.41,142739182.3
5/2/20,BTCUSD,8829.42,9025,8762.01,8985.58,10338.51,91953816.98
5/1/20,BTCUSD,8624.28,9075.98,8622.72,8829.42,21274.62,187177150
4/30/20,BTCUSD,8793.75,9478.66,8407,8624.28,41170.87,366591786
4/29/20,BTCUSD,7755.01,8988,7720,8793.75,44175.18,371817061.8
4/28/20,BTCUSD,7789.77,7794.74,7672,7755.01,10982.39,84894779.39
4/27/20,BTCUSD,7706.4,7810.99,7635.69,7789.77,14852.08,114568679.3
4/26/20,BTCUSD,7547.61,7715,7493.27,7706.4,8832.65,67273131.81
4/25/20,BTCUSD,7514.64,7720,7437.94,7547.61,6924.39,52283945.47
4/24/20,BTCUSD,7488.83,7612.24,7390,7514.64,13339.81,100288369.5
4/23/20,BTCUSD,7136.84,7773.41,7031.14,7488.83,19291.52,142933338.8
4/22/20,BTCUSD,6853.68,7167.37,6826,7136.84,13050.92,91832442.38
4/21/20,BTCUSD,6838.19,6959,6776,6853.68,14391.36,98747231.99
4/20/20,BTCUSD,7130.71,7227.11,6748.72,6838.19,17338.74,120997237
4/19/20,BTCUSD,7261.76,7275,7063.02,7130.71,8667.4,62079152.03
4/18/20,BTCUSD,7037.46,7308,7021,7261.76,11252.44,80945066.4
4/17/20,BTCUSD,7112.64,7156.66,7000,7037.46,13438.45,95000679.22
4/16/20,BTCUSD,6624.12,7217.27,6456,7112.64,26737.11,185593266.2
4/15/20,BTCUSD,6877.37,6940,6605.89,6624.12,14391.16,97358749.42
4/14/20,BTCUSD,6861.21,6997.38,6771.41,6877.37,12763.77,87902570.31
4/13/20,BTCUSD,6908.13,6908.13,6593.17,6861.21,20044.97,135363782.8
4/12/20,BTCUSD,6889.65,7200,6787.44,6908.13,12210.75,85573914.29
4/11/20,BTCUSD,6871.91,6955,6775,6889.65,8019.3,55032638.01
4/10/20,BTCUSD,7293.24,7305.91,6750,6871.91,18797.12,130567339.9
4/9/20,BTCUSD,7370.11,7377,7110,7293.24,12106,88238827.54
4/8/20,BTCUSD,7200.01,7430,7154.22,7370.11,15236.66,111402209.8
4/7/20,BTCUSD,7341.56,7466,7073,7200.01,22182.73,162226198.1
4/6/20,BTCUSD,6778.25,7373.37,6773.28,7341.56,26701.38,189929124.7
4/5/20,BTCUSD,6874.77,6925,6681,6778.25,8595.09,58377261.58
4/4/20,BTCUSD,6741.99,7025.53,6658.16,6874.77,9275.75,63103022.6
4/3/20,BTCUSD,6804.52,7050,6606.06,6741.99,14565.52,99265773.28
4/2/20,BTCUSD,6666.11,7285.35,6570.92,6804.52,26695.18,182281097.4
4/1/20,BTCUSD,6424.35,6744.99,6160,6666.11,17277.04,109603135.3
3/31/20,BTCUSD,6406.4,6524.79,6333.91,6424.35,11772.78,75959673.35
3/30/20,BTCUSD,5877.21,6631.23,5853,6406.4,22757.77,143595730.3
3/29/20,BTCUSD,6251.82,6279.96,5870.46,5877.21,15449.07,93617342.56
3/28/20,BTCUSD,6372.36,6372.36,6030,6251.82,19731.24,122693614.8
3/27/20,BTCUSD,6758.18,6880,6260,6372.36,19342.26,129042880.1
3/26/20,BTCUSD,6690.96,6795,6520.13,6758.18,16824.91,112385458.9
3/25/20,BTCUSD,6766.64,6983.31,6470,6690.96,30099.97,200739363.9
3/24/20,BTCUSD,6490.63,6866.1,6403.16,6766.64,39480.7,262796643.7
3/23/20,BTCUSD,5818.25,6641.03,5678.2,6490.63,40236.51,249807429.2
3/22/20,BTCUSD,6198.78,6420,5738,5818.25,26866.94,162529507.3
3/21/20,BTCUSD,6206.1,6470,5851,6198.78,22828.48,141075642.3
3/20/20,BTCUSD,6186.26,6990,5660,6206.1,50978.38,324635007.7
3/19/20,BTCUSD,5413.64,6441.37,5261.69,6186.26,51871.73,307820033.6
3/18/20,BTCUSD,5331.71,5452.82,5001,5413.64,35777.32,188712720.9
3/17/20,BTCUSD,5037.61,5569.44,4935.6,5331.71,43433.32,230660886
3/16/20,BTCUSD,5345.35,5350.3,4432.3,5037.61,75500.9,370890668.9
3/15/20,BTCUSD,5165.25,5985,5085.91,5345.35,41872.18,225421528.2
3/14/20,BTCUSD,5637.6,5669,5050,5165.25,31973.85,172250705.8
3/13/20,BTCUSD,4857.1,5995,3858.03,5637.6,117495.29,608984267.1
3/12/20,BTCUSD,7938.05,7969.45,4644,4857.1,98037.07,599721872.4
3/11/20,BTCUSD,7894.68,7987.97,7583.27,7938.05,13293.92,103764676.4
3/10/20,BTCUSD,7934.52,8158.25,7733.56,7894.68,16533.72,131472969.1
3/9/20,BTCUSD,8037.76,8187.03,7630,7934.52,24964.13,195979885.3
3/8/20,BTCUSD,8901.37,8901.37,8002.2,8037.76,15340.83,129008495.7
3/7/20,BTCUSD,9158.51,9214.67,8850.47,8901.37,5965.47,53780144.82
3/6/20,BTCUSD,9070.17,9182.08,9000.01,9158.51,6422.13,58396482.9
3/5/20,BTCUSD,8760.66,9174.24,8759.99,9070.17,9805.85,88508634.72
3/4/20,BTCUSD,8757.84,8847,8670.57,8760.66,5681.87,49748069.48
3/3/20,BTCUSD,8915,8927.45,8635.31,8757.84,8815.55,77364323.32
3/2/20,BTCUSD,8522.31,8973.45,8487.33,8915,10216.69,89626512.22
3/1/20,BTCUSD,8525.07,8752.34,8400,8522.31,7214.76,61692860.61
2/29/20,BTCUSD,8708.89,8799,8520.67,8525.07,5120.8,44388605.14
2/28/20,BTCUSD,8812.49,8899.94,8428.8,8708.89,13228.54,114501460.7
2/27/20,BTCUSD,8778.3,8972.92,8520,8812.49,14584.29,128072423.6
2/26/20,BTCUSD,9305,9375.36,8602,8778.3,19723.02,176691360.6
2/25/20,BTCUSD,9660,9681.56,9230,9305,8965.56,84589834.52
2/24/20,BTCUSD,9965.01,10030,9474.74,9660,10615.94,103127741
2/23/20,BTCUSD,9668.23,10025.66,9667.13,9965.01,5394.83,53323539.91
2/22/20,BTCUSD,9695.66,9722.97,9575.01,9668.23,3301.24,31900686.52
2/21/20,BTCUSD,9610.05,9769.66,9567.5,9695.66,6775.66,65643474.71
2/20/20,BTCUSD,9600.08,9698.1,9393.39,9610.05,12023.23,115121820.3
2/19/20,BTCUSD,10188.04,10315,9280.98,9600.08,14806,147489049.6
2/18/20,BTCUSD,9700,10298.25,9610.27,10188.04,11353.51,112671505.7
2/17/20,BTCUSD,9921,9969.38,9467,9700,9867.19,95521907.51
2/16/20,BTCUSD,9911.22,10048.34,9612.12,9921,9068.01,89415227.11
2/15/20,BTCUSD,10371.33,10400,9750,9911.22,10903.02,109647289.1
2/14/20,BTCUSD,10236.49,10395.66,10102.5,10371.33,8025.16,82454186.73
2/13/20,BTCUSD,10351.13,10522.51,10083.1,10236.49,15985.79,164489334.3
2/12/20,BTCUSD,10270.01,10483.86,10250,10351.13,13601.13,140756956.9
2/11/20,BTCUSD,9851.78,10400,9706,10270.01,16160.17,162366778
2/10/20,BTCUSD,10168.35,10199,9736,9851.78,12660.26,125725792.1
2/9/20,BTCUSD,9905.64,10178.91,9888.76,10168.35,9088.19,91494054.83
2/8/20,BTCUSD,9808.05,9955,9653.47,9905.64,7747.21,76074037.67
2/7/20,BTCUSD,9763.01,9885,9713.99,9808.05,8456.27,82708035.97
2/6/20,BTCUSD,9613.82,9857,9521.47,9763.01,12615,122405801
2/5/20,BTCUSD,9164.33,9769.7,9150,9613.82,12951.51,123258599.4
2/4/20,BTCUSD,9280.49,9350,9078.05,9164.33,7949.7,73078147.53
2/3/20,BTCUSD,9323.5,9619.95,9220,9280.49,10892.3,101814467.9
2/2/20,BTCUSD,9380.18,9480,9140,9323.5,6839.38,63998538.22
2/1/20,BTCUSD,9334.98,9458.08,9285.01,9380.18,4383.54,41082054.86
1/31/20,BTCUSD,9503.08,9522.5,9195.49,9334.98,9435.38,88011727.74
1/30/20,BTCUSD,9288.44,9574.68,9185,9503.08,11818.13,110968661.2
1/29/20,BTCUSD,9394.5,9439.83,9224.75,9288.44,12035.69,112347657.2
1/28/20,BTCUSD,8895.96,9418.91,8880.87,9394.5,16365.39,148641909.4
1/27/20,BTCUSD,8595,8985,8556.6,8895.96,9424.43,82720725.29
1/26/20,BTCUSD,8326.81,8595,8278.68,8595,5452.53,46119129.81
1/25/20,BTCUSD,8427.26,8437.76,8252.73,8326.81,3780.8,31471643.07
1/24/20,BTCUSD,8385.22,8509.99,8216.71,8427.26,8619.14,72301029.34
1/23/20,BTCUSD,8660.38,8665,8278,8385.22,11982.41,100837510.2
1/22/20,BTCUSD,8722.03,8791.76,8565,8660.38,5339.98,46253524.36
1/21/20,BTCUSD,8628.89,8774.31,8465,8722.03,7130.48,61567982.67
1/20/20,BTCUSD,8697.53,8734.84,8504.06,8628.89,5600.37,48374393.64
1/19/20,BTCUSD,8909.32,9194.99,8465,8697.53,13287.91,117374954.1
1/18/20,BTCUSD,8899.42,8980,8800.1,8909.32,5517.04,49095249.12
1/17/20,BTCUSD,8714.76,9013,8665.67,8899.42,15260.04,135413608.3
1/16/20,BTCUSD,8808.81,8850,8580,8714.76,9215.42,79942860.78
1/15/20,BTCUSD,8815.69,8900,8550,8808.81,14653.58,128351070
1/14/20,BTCUSD,8104.5,8893.69,8104.5,8815.69,26326.67,226079918.2
1/13/20,BTCUSD,8180.81,8195.81,8041.95,8104.5,6678.03,54105551.55
1/12/20,BTCUSD,8020,8185,7963.25,8180.81,3831.56,31064993.68
1/11/20,BTCUSD,8198.09,8290,8000.01,8020,7482.51,60843999.25
1/10/20,BTCUSD,7813.78,8199.77,7671,8198.09,13367.2,106099896.2
1/9/20,BTCUSD,8045.51,8048.67,7744.48,7813.78,9300.17,73385689.32
1/8/20,BTCUSD,8158.52,8469.39,7845,8045.51,23470.24,192691236.1
1/7/20,BTCUSD,7764.63,8216,7723,8158.52,19215.66,153096310.3
1/6/20,BTCUSD,7355.4,7805,7343.17,7764.63,11426.17,86500479.01
1/5/20,BTCUSD,7348.63,7488.87,7312.22,7355.4,5916.67,43942653.33
1/4/20,BTCUSD,7334.45,7398,7263.32,7348.63,4742.47,34732882.54
1/3/20,BTCUSD,6945.02,7401.2,6854.67,7334.45,13605.13,98350543.2
1/2/20,BTCUSD,7174.33,7186.18,6903,6945.02,7645.56,53678518.9
1/1/20,BTCUSD,7165.72,7238.14,7136.05,7174.33,3350.63,24110757.06
12/31/19,BTCUSD,7218,7298.67,7111,7165.72,6755.97,48557590.58
12/30/19,BTCUSD,7384.89,7386.28,7200,7218,7343.62,53490940.64
12/29/19,BTCUSD,7302.67,7531,7278.07,7384.89,6534.78,48364332.97
12/28/19,BTCUSD,7245.83,7346,7232.55,7302.67,4621.76,33749828.17
12/27/19,BTCUSD,7194.13,7254,7053.32,7245.83,8398.22,60314011.48
12/26/19,BTCUSD,7192.12,7432.1,7140,7194.13,7488.78,54299156.65
12/25/19,BTCUSD,7255.01,7265.12,7115.5,7192.12,3292.87,23699969.29
