Date,Open,High,Low,Close,Adj Close,Volume
1/1/93,516,521.87,508.6,520.49,520.49,3.75E+09
2/1/93,525.03,533.89,513.59,527.59,527.59,3.59E+09
3/1/93,526.07,543.73,526.07,538.72,538.72,3.94E+09
4/1/93,537.09,537.09,517.68,525.7,525.7,4.13E+09
5/1/93,528.55,543.54,525.68,539.76,539.76,3.50E+09
6/1/93,544.2,544.41,532.14,541.34,541.34,3.69E+09
7/1/93,539.56,541.7,530.74,539.16,539.16,3.55E+09
8/1/93,541.75,559.62,539.65,559.62,559.62,3.78E+09
9/1/93,559.2,559.2,547.7,555.33,555.33,3.76E+09
10/1/93,558.24,568.57,555.97,566.82,566.82,4.09E+09
11/1/93,568.49,568.49,554.82,561.41,561.41,3.86E+09
12/1/93,561.58,573.6,561.58,568.2,568.2,3.71E+09
1/1/94,567.09,587.52,567.09,587.52,587.52,4.50E+09
2/1/94,585.27,588.19,567.91,571.57,571.57,3.98E+09
3/1/94,568.33,577.23,546.36,546.65,546.65,4.95E+09
4/1/94,538.37,555.77,538.37,553.66,553.66,4.19E+09
5/1/94,556.44,563.76,543.2,562.75,562.75,4.04E+09
6/1/94,564.19,570.68,546.85,548.96,548.96,4.10E+09
7/1/94,551.47,566.98,551.47,566.98,566.98,3.55E+09
8/1/94,570.54,590.93,566.07,590.23,590.23,4.55E+09
9/1/94,587.45,590.08,571.53,575.79,575.79,4.31E+09
10/1/94,574.82,590.38,563.28,588.73,588.73,4.63E+09
11/1/94,583.98,583.98,562.23,567.29,567.29,4.51E+09
12/1/94,561.43,579.53,557.33,575.7,575.7,4.27E+09
1/1/95,575.52,590.64,575.52,590.64,590.64,3.98E+09
2/1/95,590.65,614.4,590.65,613.65,613.65,3.79E+09
3/1/95,611.64,635.72,607.48,631.76,631.76,5.41E+09
4/1/95,633.32,650.36,633.32,650.36,650.36,4.72E+09
5/1/95,649.95,676.36,649.95,676.36,676.36,5.65E+09
6/1/95,676.53,699.63,669.8,692.07,692.07,5.46E+09
7/1/95,695.08,718.95,695.08,715.02,715.02,5.41E+09
8/1/95,711.95,716.82,707.14,716.82,716.82,5.35E+09
9/1/95,719.34,749.66,719.34,747.07,747.07,5.32E+09
10/1/95,743.65,755.83,738.11,744.4,744.4,6.23E+09
11/1/95,748.01,779.98,748.01,777.07,777.07,5.53E+09
12/1/95,779.15,798.76,778.69,792.04,792.04,5.60E+09
1/1/96,798.22,819,770.11,819,819,7.43E+09
2/1/96,822.3,852.47,818.97,826.59,826.59,6.68E+09
3/1/96,831.7,846.66,818.19,834.55,834.55,6.93E+09
4/1/96,845.2,848.21,816.7,846.85,846.85,6.64E+09
5/1/96,847.49,880.46,826.63,868.69,868.69,6.38E+09
6/1/96,866.83,881.09,860.4,872.01,872.01,5.64E+09
7/1/96,878.97,878.97,815.77,833.48,833.48,6.83E+09
8/1/96,846.77,875.01,846.77,851.06,851.06,5.42E+09
9/1/96,854.63,898.97,848.15,898.97,898.97,5.98E+09
10/1/96,901.29,930.54,901.29,923.76,923.76,7.21E+09
11/1/96,921.91,993.58,921.91,993.58,993.58,6.71E+09
12/1/96,993,994.85,947.23,973.9,973.9,6.86E+09
1/1/97,969.05,1034.74,969.05,1034.74,1034.74,9.00E+09
2/1/97,1035.59,1075.82,1024.72,1042.85,1042.85,7.70E+09
3/1/97,1048.78,1073.64,1000,1000,1000,8.16E+09
4/1/97,1003.33,1059.7,974.94,1059.7,1059.7,8.52E+09
5/1/97,1056.13,1125.72,1056.13,1124.22,1124.22,8.23E+09
6/1/97,1121.69,1192.24,1113.69,1174.59,1174.59,8.43E+09
7/1/97,1182.57,1268.05,1182.57,1268.05,1268.05,9.60E+09
8/1/97,1258.59,1276.25,1197.01,1197.01,1197.01,8.98E+09
9/1/97,1234.44,1272.95,1215.41,1262.56,1262.56,9.04E+09
10/1/97,1273.51,1310.6,1169.69,1220.4,1220.4,1.19E+10
11/1/97,1252.96,1286.69,1209.82,1276.89,1276.89,8.39E+09
12/1/97,1302.82,1315.28,1247.75,1298.82,1298.82,9.88E+09
1/1/98,1305.04,1320.16,1242.1,1313.19,1313.19,1.05E+10
2/1/98,1341.32,1407.9,1341.32,1407.9,1407.9,9.42E+09
3/1/98,1405.73,1484.92,1389.27,1480,1480,1.12E+10
4/1/98,1488.7,1519.62,1458.73,1494.89,1494.89,1.08E+10
5/1/98,1507.33,1508.77,1469.19,1469.19,1469.19,9.18E+09
6/1/98,1469.46,1535.01,1451.65,1528.87,1528.87,1.12E+10
7/1/98,1548.77,1601.08,1512.59,1512.59,1512.59,1.22E+10
8/1/98,1501.53,1501.53,1293.9,1293.9,1293.9,1.32E+10
9/1/98,1343.94,1442.66,1316.81,1376.79,1376.79,1.47E+10
10/1/98,1335.36,1488.78,1299.44,1488.78,1488.78,1.68E+10
11/1/98,1506.31,1617.95,1505.32,1579.02,1579.02,1.16E+10
12/1/98,1594.87,1687.03,1549.63,1670.01,1670.01,1.25E+10
1/1/99,1668.52,1739.84,1647.57,1739.84,1739.84,1.46E+10
2/1/99,1730.81,1731.32,1654.24,1685.77,1685.77,1.34E+10
3/1/99,1682.86,1793.85,1668.37,1753.21,1753.21,1.63E+10
4/1/99,1763.31,1858.29,1758.19,1821.11,1821.11,1.69E+10
5/1/99,1847.63,1866.87,1750.19,1778.1,1778.1,1.45E+10
6/1/99,1767.8,1876.78,1767.8,1876.78,1876.78,1.45E+10
7/1/99,1888.15,1940.76,1818.18,1818.18,1818.18,1.38E+10
8/1/99,1817.27,1892.87,1754.33,1809.19,1809.19,1.50E+10
9/1/99,1824.2,1860.15,1739.92,1759.59,1759.59,1.58E+10
10/1/99,1759.77,1870.94,1711.77,1870.94,1870.94,1.79E+10
11/1/99,1858.86,1957.87,1850.13,1908.97,1908.97,1.72E+10
12/1/99,1921.49,2021.4,1921.49,2021.4,2021.4,1.85E+10
1/1/00,2002.11,2016.64,1872.61,1919.84,1919.84,2.25E+10
2/1/00,1940.24,1985.49,1837.7,1883.5,1883.5,2.09E+10
3/1/00,1901.51,2107.28,1869.33,2067.76,2067.76,2.71E+10
4/1/00,2077.97,2092.87,1872.55,2005.55,2005.55,2.29E+10
5/1/00,2027.4,2027.4,1898.94,1964.4,1964.4,2.22E+10
6/1/00,2003.45,2055.84,1994.33,2012.83,2012.83,2.26E+10
7/1/00,2033.58,2091.14,1966.2,1981.36,1981.36,2.07E+10
8/1/00,1991.43,2104.43,1991.43,2104.43,2104.43,2.25E+10
9/1/00,2108.76,2108.76,1979.31,1993.33,1993.33,2.51E+10
10/1/00,1992.94,1993.7,1846.08,1984.91,1984.91,3.33E+10
11/1/00,1973.72,1989.19,1828.42,1828.42,1828.42,2.85E+10
12/1/00,1828.81,1919.65,1759.62,1837.37,1837.37,3.20E+10
1/1/01,1785.86,1913.13,1785.86,1902.55,1902.55,3.73E+10
2/1/01,1913.11,1913.11,1729.08,1729.08,1729.08,2.99E+10
3/1/01,1730.92,1764.39,1559.65,1619.54,1619.54,3.89E+10
4/1/01,1599.36,1750.98,1540.17,1745.39,1745.39,3.50E+10
5/1/01,1769.12,1836.02,1741.33,1757.09,1757.09,3.12E+10
6/1/01,1763.87,1795.96,1691.59,1714.32,1714.32,2.99E+10
7/1/01,1731.53,1731.53,1641.76,1697.45,1697.45,2.90E+10
8/1/01,1704.24,1711.17,1584.77,1591.18,1591.18,2.82E+10
9/1/01,1590.29,1590.29,1356.61,1462.69,1462.69,3.07E+10
10/1/01,1459.33,1553.26,1459.33,1490.58,1490.58,3.92E+10
11/1/01,1524.96,1629.76,1524.96,1604.92,1604.92,3.39E+10
12/1/01,1591.48,1649,1577.58,1618.98,1618.98,3.05E+10
1/1/02,1628.51,1653.69,1553.23,1595.35,1595.35,3.62E+10
2/1/02,1584.06,1584.06,1525.26,1564.59,1564.59,3.37E+10
3/1/02,1600.02,1655.44,1600.02,1623.43,1623.43,3.34E+10
4/1/02,1622.23,1622.23,1508.75,1525,1525,3.69E+10
5/1/02,1538.65,1569.17,1486.57,1513.77,1513.77,3.62E+10
6/1/02,1476.26,1489.88,1382.78,1405.94,1405.94,3.73E+10
7/1/02,1375.88,1405.2,1133.99,1296.34,1296.34,4.69E+10
8/1/02,1258.22,1370.85,1187.07,1304.86,1304.86,3.35E+10
9/1/02,1250.68,1296.25,1163.04,1163.04,1163.04,3.21E+10
10/1/02,1209.59,1284.73,1108.91,1265.41,1265.41,4.36E+10
11/1/02,1287.13,1343.47,1252.42,1339.89,1339.89,3.37E+10
12/1/02,1337.35,1337.35,1254.66,1261.18,1261.18,2.80E+10
1/1/03,1303.17,1336.25,1212.23,1228.14,1228.14,3.32E+10
2/1/03,1234.79,1234.79,1174.43,1209.71,1209.71,2.63E+10
3/1/03,1200.6,1289.74,1152.15,1221.46,1221.46,3.16E+10
4/1/03,1236.3,1324.68,1236.3,1322.07,1322.07,2.88E+10
5/1/03,1321.39,1391.72,1321.39,1391.72,1391.72,2.93E+10
6/1/03,1396.7,1462.48,1396.7,1409.48,1409.48,2.95E+10
7/1/03,1421.03,1458.51,1416.88,1434.33,1434.33,2.81E+10
8/1/03,1419.64,1462.3,1398.42,1462.3,1462.3,2.19E+10
9/1/03,1482.61,1509.47,1446.77,1446.77,1446.77,2.61E+10
10/1/03,1479.23,1528.62,1479.23,1528.62,1528.62,2.80E+10
11/1/03,1540.71,1542.4,1505.76,1542.07,1542.07,2.09E+10
12/1/03,1559.5,1622.94,1544.31,1622.94,1622.94,2.28E+10
1/1/04,1618.05,1687.44,1618.05,1652.73,1652.73,2.74E+10
2/1/04,1658.79,1693.03,1646.29,1675.7,1675.7,2.25E+10
