Date,Dividends
1/1/93,0.568963
2/1/93,1.374862
3/1/93,1.064482
4/1/93,0.562162
5/1/93,1.734617
6/1/93,0.965915
7/1/93,0.587937
8/1/93,1.527646
9/1/93,1.05713
10/1/93,0.587095
11/1/93,1.579522
12/1/93,0.91213
1/1/94,0.68573
2/1/94,1.409321
3/1/94,1.050332
4/1/94,0.570326
5/1/94,1.782477
6/1/94,1.067933
7/1/94,0.573265
8/1/94,1.514869
9/1/94,1.170693
10/1/94,0.72087
11/1/94,1.481142
12/1/94,1.113957
1/1/95,0.751349
2/1/95,1.345233
3/1/95,1.036259
4/1/95,0.732696
5/1/95,1.830875
6/1/95,1.025423
7/1/95,0.745696
8/1/95,1.566254
9/1/95,1.170455
10/1/95,0.816011
11/1/95,1.613757
12/1/95,1.076139
1/1/96,0.811177
2/1/96,1.499495
3/1/96,1.095286
4/1/96,0.816612
5/1/96,1.847274
6/1/96,1.029694
7/1/96,1.051621
8/1/96,1.481015
9/1/96,1.345153
10/1/96,0.977338
11/1/96,1.508852
12/1/96,1.269568
1/1/97,0.819906
2/1/97,1.51233
3/1/97,1.269535
4/1/97,0.917904
5/1/97,1.808748
6/1/97,1.123027
7/1/97,1.197876
8/1/97,1.370382
9/1/97,1.421491
10/1/97,1.049773
11/1/97,1.530923
12/1/97,1.345268
1/1/98,0.862148
2/1/98,1.600037
3/1/98,1.274017
4/1/98,1.052865
5/1/98,1.741847
6/1/98,1.246163
7/1/98,1.114064
8/1/98,1.524643
9/1/98,1.553071
10/1/98,0.980318
11/1/98,1.593309
12/1/98,1.385714
1/1/99,0.972905
2/1/99,1.53665
3/1/99,1.489803
4/1/99,0.993648
5/1/99,1.784014
6/1/99,1.320576
7/1/99,1.155769
8/1/99,1.702612
9/1/99,1.544629
10/1/99,0.906945
11/1/99,1.714142
12/1/99,1.394648
1/1/00,0.980008
2/1/00,1.65901
3/1/00,1.431475
4/1/00,1.071136
5/1/00,1.945113
6/1/00,1.027412
7/1/00,1.139986
8/1/00,1.953299
9/1/00,1.063238
10/1/00,1.010044
11/1/00,1.838482
12/1/00,1.112042
1/1/01,1.083592
2/1/01,1.583767
3/1/01,1.103645
4/1/01,0.958197
5/1/01,1.96017
