Date,Dividends
2007-12-21,0.031
2012-09-21,0.07525
2008-06-20,0.02825
2016-03-18,0.091
2011-12-16,0.0725
2016-09-16,0.096
2012-06-15,0.06725
2020-03-23,0.136
2015-12-18,0.119
2016-06-17,0.09725
2003-09-19,0.014
2004-03-19,0.0135
2020-06-22,0.124
2007-09-21,0.029
2008-03-20,0.02725
2003-06-20,0.01175
2003-12-19,0.01775
2007-06-15,0.0345
2011-09-16,0.057
2012-03-16,0.057
2015-03-20,0.08225
2010-12-17,0.02975
2011-06-17,0.0585
2015-09-18,0.09575
2019-03-18,0.122
2014-12-19,0.0995
2015-06-19,0.0955
2019-09-23,0.142
2002-03-15,0.0105
2003-03-21,0.015
2002-09-20,0.0095
2019-06-24,0.148
2019-12-23,0.16
2007-03-16,0.02625
2006-09-15,0.0215
2002-06-21,0.00225
2002-12-20,0.02075
2011-03-18,0.0515
2010-09-17,0.02425
2006-06-16,0.023
2006-12-15,0.0355
2014-03-21,0.0685
2014-09-19,0.08025
2009-12-18,0.0295
2010-06-18,0.02325
2018-03-19,0.1
2013-12-20,0.09275
2014-06-20,0.0835
2018-09-24,0.137
2001-03-16,0.0085
2001-09-21,0.007
2018-06-18,0.119
2018-12-24,0.136
2006-03-17,0.01875
2005-09-16,0.0225
2001-06-15,2.5E-4
2001-12-21,0.007
2010-03-19,0.023
2009-09-18,0.024
2005-06-17,0.0235
2005-12-16,0.021
2013-03-15,0.05975
2013-09-20,0.077
2008-12-19,0.0395
2009-06-19,0.026
2017-03-17,0.099
2017-09-15,0.117
2012-12-21,0.09775
2013-06-21,0.07475
2016-12-16,0.125
2017-06-16,0.11275
2017-12-15,0.136
2005-03-18,0.02325
2004-09-17,0.02025
2000-12-15,0.006
2009-03-20,0.031
2004-06-18,0.01675
2008-09-19,0.028
2004-12-17,0.11025
