Date,Dividends
2007-12-21,0.1545
2012-09-21,0.10925
2008-06-20,0.1425
2016-03-18,0.153
2011-12-16,0.09975
2016-09-16,0.1575
2012-06-15,0.09325
2020-03-23,0.222
2015-12-18,0.17125
2016-06-17,0.15625
2003-09-19,0.081
2004-03-19,0.08913
2020-06-22,0.211
2007-09-21,0.14325
2008-03-20,0.12975
2003-06-20,0.06263
2003-12-19,0.11613
2007-06-15,0.1235
2011-09-16,0.08875
2012-03-16,0.08625
2015-03-20,0.137
2010-12-17,0.1065
2011-06-17,0.087
2015-09-18,0.14975
2019-03-18,0.175
2014-12-19,0.158
2015-06-19,0.1495
2019-09-23,0.195
2002-03-15,0.06538
2003-03-21,0.06238
2002-09-20,0.12763
2019-06-24,0.203
2019-12-23,0.212
2007-03-16,0.1365
2006-09-15,0.108
2002-06-21,0.07838
2002-12-20,0.08713
2011-03-18,0.07475
2010-09-17,0.11025
2006-06-16,0.09525
2006-12-15,0.13325
2014-03-21,0.125
2014-09-19,0.13875
2009-12-18,0.0735
2010-06-18,0.0955
2018-03-19,0.174
2013-12-20,0.12275
2014-06-20,0.1345
2018-09-24,0.224
2001-03-16,0.07438
2001-09-21,0.06663
2018-06-18,0.19
2018-12-24,0.219
2006-03-17,0.10575
2005-09-16,0.11638
2001-06-15,0.06413
2001-12-21,0.07588
2010-03-19,0.081
2009-09-18,0.09375
2005-06-17,0.0925
2005-12-16,0.135
2013-03-15,0.09225
2013-09-20,0.1175
2008-12-19,0.15225
2009-06-19,0.097
2017-03-17,0.14575
2017-09-15,0.176
2012-12-21,0.15625
2013-06-21,0.12025
2016-12-16,0.1865
2017-06-16,0.168
2017-12-15,0.361
2005-03-18,0.1115
2004-09-17,0.11325
2000-12-15,0.07175
2009-03-20,0.105
2004-06-18,0.07775
2008-09-19,0.14975
2004-12-17,0.10813
