Date,Dividends
2005-12-22,0.091
2007-12-14,0.175
2017-06-28,0.406
2019-03-21,0.597
2017-03-24,0.363
2015-12-23,0.403
2017-09-27,0.419
2019-06-21,0.638
2019-09-26,0.834
2009-12-22,0.25
2011-12-21,0.485
2015-09-23,0.985
2017-12-14,0.437
2013-12-20,0.944
2019-12-16,0.651
2004-12-22,0.609
2008-12-22,0.326
2018-06-28,0.488
2006-12-18,0.136
2018-09-24,0.649
2016-06-21,0.35
2018-03-16,0.378
2016-03-21,0.407
2016-09-20,0.403
2016-12-14,0.433
2010-12-22,0.362
2014-12-18,1.171
2018-12-13,0.641
2012-12-20,0.833
2020-03-10,0.841
