Date,Dividends
2008-09-24,0.622
2007-12-14,0.607
2017-06-28,0.876
2017-03-24,0.933
2013-06-24,0.784
2009-03-25,0.625
2017-09-27,0.963
2013-03-22,0.724
2013-09-23,0.8
2011-12-21,0.69
2009-06-24,0.618
2015-12-17,0.878
2019-12-16,1.022
2004-12-22,1.546
2011-09-23,0.683
2007-06-25,0.506
2008-12-22,0.649
2012-03-26,0.707
2005-03-24,0.415
2007-09-24,0.591
2008-03-25,0.566
2012-06-25,0.71
2016-06-21,0.834
2016-03-21,0.717
2008-06-24,0.526
2012-09-24,0.782
2016-09-20,0.919
2016-12-14,0.943
2012-12-20,0.798
2020-03-10,0.875
2005-12-22,0.556
2010-09-24,0.636
2006-06-26,0.6
2015-03-23,0.823
2019-03-21,0.945
2006-09-25,0.543
2011-03-25,0.622
2019-06-21,0.981
2019-09-26,1.089
2015-06-26,0.838
2009-12-22,0.619
2017-12-14,0.935
2011-06-24,0.664
2013-12-20,0.824
2015-09-25,0.875
2007-03-26,0.483
2009-09-24,0.608
2005-06-27,0.53
2014-03-24,0.731
2018-06-28,1.016
2006-12-18,0.564
2005-09-26,0.399
2014-06-23,0.743
2018-09-24,0.934
2010-03-25,0.571
2018-03-16,0.839
2006-03-20,0.483
2014-09-22,0.791
2010-12-22,0.717
2014-12-18,0.824
2018-12-13,1.018
2010-06-24,0.616
