Date,Open,High,Low,Close,Adj Close,Volume
2004-01-01,49.599998,49.869999,49.599998,49.840000,28.698286,17600
2004-02-01,49.740002,50.549999,49.049999,50.459999,29.055283,34200
2004-03-01,51.060001,51.500000,50.000000,51.049999,29.395012,73400
2004-04-01,51.250000,51.400002,48.580002,49.279999,28.375826,39100
2004-05-01,49.180000,49.650002,46.650002,49.650002,28.588875,36900
2004-06-01,49.509998,51.119999,49.060001,50.540001,29.101345,24700
2004-07-01,50.410000,51.599998,49.939999,50.930000,29.325922,138100
2004-08-01,51.169998,52.980000,51.169998,52.980000,30.506321,342900
2004-09-01,53.320000,53.840000,52.950001,53.630001,30.880606,81100
2004-10-01,53.950001,56.250000,53.840000,56.009998,32.251019,56100
2004-11-01,56.189999,59.880001,55.740002,58.459999,33.661755,132800
2004-12-01,58.169998,60.070000,57.169998,58.560001,33.719337,116900
2005-01-01,58.740002,59.290001,56.369999,59.180000,34.976505,103800
2005-02-01,59.500000,61.580002,59.070000,60.470001,35.738911,165800
2005-03-01,60.700001,62.529999,59.209999,60.680000,35.863026,191900
2005-04-01,61.099998,62.389999,59.630001,62.009998,36.905502,207100
2005-05-01,62.200001,63.200001,59.880001,62.980000,37.482807,239800
2005-06-01,63.049999,66.220001,63.049999,65.839996,39.184952,305900
2005-07-01,66.000000,67.800003,64.970001,67.339996,40.405880,356000
2005-08-01,67.500000,68.730003,64.779999,67.750000,40.651894,380100
2005-09-01,67.889999,71.000000,67.570000,69.910004,41.947960,363900
2005-10-01,70.400002,71.099998,62.290001,65.199997,39.350731,409400
2005-11-01,65.010002,66.150002,63.189999,65.190002,39.344696,259600
2005-12-01,65.190002,67.919998,64.820000,65.139999,39.314507,284700
2006-01-01,65.580002,68.610001,65.099998,66.989998,40.773972,348800
2006-02-01,67.129997,68.199997,65.000000,67.550003,41.114834,167800
2006-03-01,67.500000,67.750000,64.500000,64.529999,39.276695,312200
2006-04-01,64.589996,66.000000,63.150002,65.699997,40.278187,241800
2006-05-01,65.550003,67.309998,63.849998,66.410004,40.713451,295100
2006-06-01,66.559998,68.059998,65.820000,67.580002,41.430744,163600
2006-07-01,67.580002,71.430000,67.279999,70.900002,43.861557,259000
2006-08-01,70.750000,72.760002,70.260002,72.720001,44.987480,1053200
2006-09-01,72.760002,72.760002,69.879997,70.690002,43.731640,1229400
2006-10-01,70.620003,75.300003,70.620003,74.529999,46.465649,553700
2006-11-01,74.750000,76.739998,73.669998,76.739998,47.843483,276100
2006-12-01,76.820000,78.400002,76.379997,76.809998,47.887115,248500
2007-01-01,77.080002,77.519997,75.089996,76.750000,48.197815,402900
2007-02-01,76.879997,83.690002,76.879997,80.309998,50.433449,349800
2007-03-01,79.589996,84.169998,78.269997,83.330002,52.329960,761600
2007-04-01,83.709999,88.750000,83.519997,86.599998,54.698761,1245800
2007-05-01,86.580002,89.900002,85.029999,87.500000,55.267204,1309100
2007-06-01,87.470001,87.949997,80.620003,82.500000,52.109066,1357600
2007-07-01,82.959999,86.230003,78.190002,79.070000,50.252739,852800
2007-08-01,79.959999,84.550003,76.209999,81.349998,51.701771,768800
2007-09-01,81.029999,85.279999,80.540001,83.010002,52.756786,505400
2007-10-01,83.730003,88.540001,82.139999,88.370003,56.558430,627300
2007-11-01,88.080002,88.290001,84.500000,88.099998,56.385632,485800
2007-12-01,88.360001,91.800003,86.910004,87.580002,56.052837,740600
2008-01-01,87.610001,89.739998,74.070000,81.480003,52.502251,2181000
2008-02-01,81.650002,84.709999,77.980003,78.449997,50.549847,724200
2008-03-01,77.910004,81.110001,76.000000,78.320000,50.466091,1111800
2008-04-01,78.760002,84.820000,78.760002,82.500000,53.547707,493800
2008-05-01,83.019997,86.879997,82.199997,85.680000,55.611721,622200
2008-06-01,85.629997,86.519997,81.669998,83.930000,54.475868,770200
2008-07-01,83.320000,85.199997,76.650002,78.639999,51.357933,8537300
2008-08-01,78.720001,79.550003,75.000000,78.220001,51.083622,3639400
2008-09-01,79.160004,79.160004,66.750000,68.669998,44.846760,3604800
2008-10-01,68.419998,69.099998,48.110001,60.970001,40.168774,5833500
2008-11-01,60.759998,62.930000,54.259998,62.639999,41.269012,7278500
2008-12-01,61.599998,61.790001,56.200001,61.049999,40.221478,6055300
2009-01-01,61.049999,63.639999,57.680000,60.290001,40.155994,5084700
2009-02-01,59.759998,63.130001,51.770000,52.529999,34.987457,8679600
2009-03-01,51.770000,55.380001,46.639999,53.160000,35.407085,2828100
2009-04-01,52.810001,55.730000,51.790001,54.009998,36.393185,3322100
2009-05-01,54.480000,57.880001,53.290001,56.020000,37.747581,4311600
2009-06-01,56.810001,59.209999,55.599998,58.430000,39.371494,5438800
2009-07-01,58.610001,62.139999,55.740002,60.900002,41.483486,2512700
2009-08-01,61.349998,62.840000,59.869999,61.200001,41.687840,1166900
2009-09-01,60.799999,63.320000,60.000000,61.610001,41.967125,1733100
2009-10-01,61.500000,63.560001,59.450001,59.590000,40.991055,3815700
2009-11-01,59.669998,62.980000,58.939999,62.340000,42.882740,2838700
2009-12-01,62.860001,67.010002,62.689999,65.180000,44.836338,2645400
2010-01-01,65.730003,65.900002,62.169998,62.250000,43.223152,1876000
2010-02-01,62.520000,63.419998,59.939999,61.650002,42.806561,1962200
2010-03-01,61.970001,64.510002,61.619999,62.919998,43.688377,1588700
2010-04-01,63.259998,65.459999,63.090000,64.800003,45.403572,1232200
2010-05-01,64.889999,65.709999,58.099998,61.000000,42.741024,1619200
2010-06-01,60.660000,65.010002,59.500000,59.900002,41.970280,1200600
2010-07-01,59.770000,66.150002,59.130001,64.290001,45.500484,953800
2010-08-01,65.199997,66.430000,63.619999,64.949997,45.967606,1500600
2010-09-01,65.800003,67.000000,65.339996,66.430000,47.015068,1490900
2010-10-01,66.860001,68.519997,66.269997,67.320000,48.108612,904200
2010-11-01,67.629997,68.349998,65.199997,65.699997,46.950912,1142600
2010-12-01,66.540001,67.959999,65.940002,67.080002,47.937099,1201500
2011-01-01,67.230003,69.070000,67.000000,68.050003,49.151764,1060300
2011-02-01,68.400002,69.489998,67.849998,69.160004,49.953503,869300
