Date,Dividends
2004-03-29,0.27
2004-09-27,0.295
2007-12-20,0.555
2008-09-24,0.457
2017-03-24,0.558
2016-09-13,0.558
2013-06-24,0.391
2015-12-21,0.588
2009-03-25,0.377
2013-03-22,0.388
2017-06-23,0.557
2013-09-23,0.417
2009-06-24,0.269
2011-12-23,0.408
2017-09-22,0.675
2011-09-23,0.358
2020-03-26,0.761
2007-06-25,0.378
2008-12-22,0.431
2019-09-16,0.658
2012-03-26,0.342
2016-03-22,0.0
2005-03-24,0.296
2007-09-24,0.46
2008-03-25,0.439
2012-06-25,0.388
2012-12-24,0.49
2016-12-22,0.695
2016-03-21,0.536
2004-06-28,0.264
2004-12-27,0.392
2008-06-24,0.416
2012-09-24,0.388
2016-06-14,0.484
2010-09-24,0.327
2019-03-28,0.735
2006-06-26,0.324
2018-12-24,0.708
2015-03-25,0.5
2019-06-27,0.699
2006-09-25,0.375
2015-06-22,0.51
2013-12-24,0.492
2017-12-21,0.647
2011-03-25,0.317
2009-12-22,0.411
2015-09-21,0.525
2005-12-27,0.468
2011-06-24,0.32
2007-03-26,0.427
2006-12-22,0.51
2009-09-24,0.3
2005-06-27,0.321
2014-03-25,0.43
2019-12-24,0.909
2018-03-22,0.603
2005-09-26,0.396
2010-12-27,0.353
2014-12-22,0.513
2014-06-24,0.454
2010-03-25,0.27
2018-06-22,0.628
2006-03-20,0.372
2018-09-28,0.731
2014-09-24,0.476
2010-06-24,0.307
