Date,Dividends
2004-03-29,0.09
2004-09-27,0.089
2007-12-20,0.159
2008-09-24,0.138
2017-03-24,0.379
2016-09-13,0.376
2013-06-24,0.258
2009-03-25,0.148
2013-03-22,0.227
2017-06-23,0.341
2013-09-23,0.278
2009-06-24,0.145
2015-12-17,0.413
2011-12-23,0.227
2017-09-22,0.411
2011-09-23,0.174
2020-03-26,0.398
2007-06-25,0.153
2008-12-22,0.168
2019-09-16,0.385
2012-03-26,0.194
2005-03-24,0.11
2007-09-24,0.154
2008-03-25,0.131
2012-06-25,0.209
2012-12-24,0.422
2016-12-22,0.528
2016-03-21,0.32
2004-06-28,0.07
2004-12-27,0.364
2008-06-24,0.14
2012-09-24,0.248
2016-06-14,0.323
2010-09-24,0.203
2019-03-28,0.432
2006-06-26,0.114
2018-12-24,0.527
2015-03-25,0.332
2019-06-27,0.413
2006-09-25,0.112
2015-06-22,0.296
2013-12-24,0.347
2017-12-21,0.475
2011-03-25,0.17
2009-12-22,0.179
2015-09-21,0.347
2005-12-27,0.147
2011-06-24,0.195
2007-03-26,0.134
2006-12-22,0.153
2009-09-24,0.142
2005-06-27,0.091
2014-03-25,0.275
2019-12-24,0.508
2018-03-22,0.359
2005-09-26,0.112
2010-12-27,0.203
2014-12-22,0.406
2014-06-24,0.275
2010-03-25,0.145
2018-06-22,0.419
2006-03-20,0.149
2018-09-28,0.467
2014-09-24,0.304
2010-06-24,0.149
