Date,Open,High,Low,Close,Price,Adj Close,Volume
1/1/93,334,334,329,332.5,332.5,332.5,
2/1/93,331,334.5,329,329.5,329.5,329.5,
3/1/93,330,342,327.5,339,339,339,
4/1/93,338.5,358.52,337.5,356,356,356,
5/1/93,359,386,353.5,374.75,374.75,374.75,
6/1/93,380.5,381,363.8,378.1,378.1,378.1,
7/1/93,377.5,407.7,377,407.3,407.3,407.3,
8/1/93,409.3,410.5,365.7,372.1,372.1,372.1,
9/1/93,372.7,374.21,341.1,355.4,355.4,355.4,
10/1/93,355.5,375.5,348.6,369.5,369.5,369.5,
11/1/93,369.25,380.5,360.5,370.7,370.7,370.7,
12/1/93,370.6,393.92,369.25,390.7,390.7,390.7,
1/1/94,391.1,396.9,374.29,381.9,381.9,381.9,
2/1/94,382.35,390.5,374.8,381.75,381.75,381.75,
3/1/94,382.2,395.5,373.6,391,391,391,
4/1/94,392.75,393.8,368.7,377.05,377.05,377.05,
5/1/94,377.3,390.1,372.55,387.3,387.3,387.3,
6/1/94,387.2,396,378.5,386.3,386.3,386.3,
7/1/94,386.25,389.8,382,383.6,383.6,383.6,
8/1/94,384.4,389.65,375.6,386.6,386.6,386.6,
9/1/94,386.5,398.6,385.5,394.25,394.25,394.25,
10/1/94,395.35,396.7,382.4,384.5,384.5,384.5,
11/1/94,384.35,387.5,380.8,381.4,381.4,381.4,
12/1/94,381.05,385.4,375.4,383.2,383.2,383.2,
1/1/95,382.9,386.25,371.5,375.1,375.1,375.1,
2/1/95,375.2,380.55,374,377.1,377.1,377.1,
3/1/95,377,397.5,373.3,391.4,391.4,391.4,
4/1/95,392,398.3,385.6,387.1,387.1,387.1,
5/1/95,387.05,392.3,381.4,384.3,384.3,384.3,
6/1/95,384.35,392.1,383.1,384.6,384.6,384.6,
7/1/95,385,391.75,382,382.6,382.6,382.6,
8/1/95,382.8,387.8,381.2,382.75,382.75,382.75,
9/1/95,382.7,386.9,379.3,384,384,384,
10/1/95,383.65,386.1,380.9,383,383,383,
11/1/95,382.7,390.5,381.6,387.8,387.8,387.8,
